RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
24,Node_254,10,9,11,0,0,1,3,2,0,1
24,Node_253,26,6,12,0,0,0,4,4,0,1
24,Node_252,11,9,10,0,0,1,3,2,0,1
24,Node_251,26,7,11,0,0,1,3,2,0,1
24,Node_250,11,8,11,0,0,1,3,2,0,1
24,Node_249,26,8,10,0,0,1,3,2,0,1
24,Node_248,26,9,9,0,0,1,3,26,0,1
24,Node_247,12,9,9,0,0,0,4,2,0,1
24,Node_246,12,10,8,0,0,2,2,0,0,0
24,Node_245,5,15,34,0,2,1,1,0,1,0
24,Node_244,5,14,33,0,2,0,2,0,0,0
24,Node_243,5,13,32,0,1,1,2,0,0,0
24,Node_242,27,20,17,0,0,1,3,2,0,1
24,Node_241,5,12,31,0,1,1,2,0,0,0
24,Node_240,27,19,16,0,0,1,3,4,0,1
24,Node_239,27,18,15,0,0,0,4,6,0,1
24,Node_238,5,10,29,0,2,0,2,0,0,0
24,Node_237,5,9,28,0,1,1,2,0,0,0
24,Node_236,21,21,12,0,0,1,3,4,0,1
24,Node_235,21,22,13,0,0,1,3,2,0,1
24,Node_234,21,23,14,0,0,1,3,2,0,1
24,Node_233,5,6,25,0,2,0,2,0,0,0
24,Node_232,22,23,15,0,0,2,2,0,0,0
24,Node_231,5,5,24,0,1,1,2,0,0,0
24,Node_230,22,22,14,0,0,0,4,2,0,1
24,Node_229,24,19,13,0,0,1,3,2,0,1
24,Node_228,6,5,23,0,0,2,2,0,0,0
24,Node_227,22,21,13,0,0,1,3,2,0,1
24,Node_226,6,6,22,0,1,1,2,0,0,0
24,Node_225,22,20,12,0,0,1,3,2,0,1
24,Node_224,7,6,21,0,1,1,2,0,0,0
24,Node_223,22,19,11,0,0,2,2,0,0,0
24,Node_222,26,18,14,0,0,1,3,2,0,1
24,Node_221,7,7,20,0,0,2,2,0,0,0
24,Node_220,26,17,13,0,0,1,3,2,0,1
24,Node_219,20,19,11,0,0,2,2,2,0,0
24,Node_218,8,8,20,0,0,3,1,0,1,0
24,Node_217,20,18,10,0,0,1,3,6,0,1
24,Node_216,8,7,19,0,0,1,3,4,0,1
24,Node_215,8,6,18,0,2,0,2,0,0,0
24,Node_214,8,5,17,0,1,1,2,0,0,0
24,Node_213,23,15,8,0,0,1,3,2,0,1
24,Node_212,9,5,16,0,1,1,2,0,0,0
24,Node_211,9,6,15,0,1,1,2,0,0,0
24,Node_210,10,6,14,0,0,1,3,2,0,1
24,Node_209,10,5,15,0,1,0,3,2,0,1
24,Node_208,26,13,9,0,0,1,3,8,0,1
24,Node_207,26,12,8,0,0,1,3,4,0,1
24,Node_206,25,11,6,0,0,2,2,0,0,0
24,Node_205,10,-4,24,0,0,1,3,2,0,1
24,Node_204,10,-5,25,0,1,1,2,0,0,0
24,Node_203,11,-5,24,0,0,2,2,0,0,0
24,Node_202,11,-4,23,0,0,0,4,2,0,1
24,Node_201,11,-3,22,0,2,0,2,0,0,0
24,Node_200,11,-2,21,0,1,1,2,0,0,0
24,Node_199,11,-1,20,0,2,0,2,0,0,0
24,Node_198,11,0,19,0,2,0,2,0,0,0
24,Node_197,11,1,18,0,1,1,2,0,0,0
24,Node_196,11,2,17,0,2,0,2,0,0,0
24,Node_195,11,3,16,0,2,0,2,0,0,0
24,Node_194,11,4,15,0,1,1,2,0,0,0
24,Node_193,11,5,14,0,0,0,4,4,0,1
24,Node_192,11,6,13,0,0,1,3,2,0,1
24,Node_191,15,21,16,0,0,0,4,4,0,1
24,Node_190,14,7,9,0,0,1,3,4,0,1
24,Node_189,15,20,15,0,2,0,2,0,0,0
24,Node_188,14,6,10,0,0,1,3,4,0,1
24,Node_187,16,20,14,0,0,1,3,2,0,1
24,Node_186,16,21,15,0,0,1,3,4,0,1
24,Node_185,12,8,10,0,0,0,4,4,0,1
24,Node_184,17,21,14,0,0,1,3,4,0,1
24,Node_183,12,7,11,0,0,1,3,6,0,1
24,Node_182,17,20,13,0,0,0,4,2,0,1
24,Node_181,12,6,12,0,0,0,4,10,0,1
24,Node_180,17,5,10,0,0,1,3,2,0,1
24,Node_179,17,19,12,0,0,1,3,2,0,1
24,Node_178,12,5,13,0,0,1,3,4,0,1
24,Node_177,17,4,11,0,0,1,3,4,0,1
24,Node_176,17,18,11,0,0,1,3,2,0,1
24,Node_175,13,5,12,0,0,2,2,0,0,0
24,Node_174,18,4,12,0,0,1,3,2,0,1
24,Node_173,17,17,10,0,0,1,3,2,0,1
24,Node_172,13,6,11,0,0,0,4,4,0,1
24,Node_171,18,5,11,0,0,1,3,2,0,1
24,Node_170,13,7,10,0,0,0,4,4,0,1
24,Node_169,13,8,9,0,0,1,3,2,0,1
24,Node_168,13,9,8,0,0,1,3,4,0,1
24,Node_167,17,14,7,0,0,1,3,2,0,1
24,Node_166,13,10,7,0,0,0,4,8,0,1
24,Node_165,17,16,9,0,0,0,4,4,0,1
24,Node_164,17,15,8,0,0,0,4,2,0,1
24,Node_163,24,7,11,0,0,2,2,2,0,0
24,Node_162,18,23,15,0,0,1,3,2,0,1
24,Node_161,19,1,14,0,0,1,3,6,0,1
24,Node_160,16,14,8,0,0,1,3,2,0,1
24,Node_159,24,6,12,0,0,1,3,2,0,1
24,Node_158,18,22,14,0,0,1,3,2,0,1
24,Node_157,19,2,13,0,0,1,3,4,0,1
24,Node_156,16,15,9,0,0,0,4,4,0,1
24,Node_155,24,5,11,0,0,0,4,4,0,1
24,Node_154,18,21,13,0,0,0,4,6,0,1
24,Node_153,19,3,12,0,0,1,3,2,0,1
24,Node_152,16,16,10,0,0,1,3,2,0,1
24,Node_151,25,5,12,0,0,1,3,20,0,1
24,Node_150,18,20,12,0,0,1,3,4,0,1
24,Node_149,19,4,11,0,0,0,4,2,0,1
24,Node_148,15,16,9,0,0,2,2,0,0,0
24,Node_147,25,6,11,0,0,0,4,22,0,1
24,Node_146,18,19,11,0,0,1,3,6,0,1
24,Node_145,19,5,10,0,0,0,4,6,0,1
24,Node_144,15,15,8,0,0,1,3,2,0,1
24,Node_143,25,7,10,0,0,0,4,22,0,1
24,Node_142,18,18,10,0,0,0,4,8,0,1
24,Node_141,19,6,9,0,0,2,2,0,0,0
24,Node_140,15,14,7,0,0,0,4,4,0,1
24,Node_139,25,8,9,0,0,1,3,22,0,1
24,Node_138,18,17,9,0,0,1,3,2,0,1
24,Node_137,20,6,8,0,0,1,3,4,0,1
24,Node_136,25,9,8,0,0,1,3,48,0,1
24,Node_135,18,16,8,0,0,1,3,2,0,1
24,Node_134,18,15,7,0,0,1,3,2,0,1
24,Node_133,18,14,6,0,0,1,3,4,0,1
24,Node_132,22,5,9,0,0,1,3,12,0,1
